SalePrice,YearsAgo,YearMade,Usage,Blade,Tire
51000,2.25,1989,45989,16,23.5
65000,2.25,1994,38999,16,23.5
102500,1.04,1994,32767,16,23.5
52500,2.65,1996,31795,14,14
55000,2.56,1996,31795,14,14
45000,1.21,1982,29345,14,14
87500,1.12,1991,28195,14,20.5
77000,1.71,1999,27391,14,14
57000,2.25,1992,25659,16,23.5
58000,1.3,1987,24681,14,14
67000,0.39,1994,24361,12,14
68000,1.29,1996,23948,14,14
52500,0.28,1984,23602,12,14
46000,1.04,1981,22254,16,23.5
60000,1.04,1982,21861,16,23.5
75000,1.27,1998,21746,14,14
55000,2.56,1993,21445,14,14
81000,0.06,1997,21323,14,14
57500,2.32,1991,20762,12,14
71000,1.7,1990,20677,14,14
48000,5.51,1983,20092,14,14
47000,1.25,1988,19990,12,14
62500,2.48,1990,19914,14,17.5
56000,1.04,1986,19558,12,15.5
67500,0.7,1995,19507,14,14
69000,0.7,1993,19313,14,14
82000,0.75,1998,19274,14,14
50000,2.4,1983,19149,14,17.5
74000,0.03,1996,19131,12,14
97500,0.3,1999,19105,14,14
135000,0.03,1989,19089,14,20.5
75000,1.07,1995,19065,14,17.5
53000,0.6,1983,18933,12,14
89000,0.12,1998,18864,14,14
39000,0.71,1976,18688,14,14
85000,0.87,1997,18596,14,15.5
19500,3.05,1992,18390,14,14
52000,1.08,1991,18368,14,13
62500,0.14,1991,18362,12,14
97500,0.07,1999,18323,12,14
43000,0.35,1985,18199,12,14
56000,0.65,1982,18000,16,23.5
57500,0.3,1991,17954,12,14
66000,1.2,1995,17928,14,14
72500,0.64,1994,17886,14,14
75000,0.77,1995,17609,14,14
67500,2.29,1991,17601,14,14
55000,1.69,1987,17478,16,23.5
87500,0.37,1996,17247,12,14
51000,1.25,1993,17237,12,14
55000,0.87,1987,17115,12,15.5
62000,1.04,1991,17044,14,14
67500,0.7,1995,17010,14,14
27500,3.51,1993,17000,14,14
46000,1.04,1978,16982,16,23.5
45000,0.87,1988,16979,14,17.5
87500,1.25,1997,16663,14,17.5
110000,4.43,1997,16648,14,17.5
49000,1.52,1996,16528,14,14
24000,1.79,1987,16499,14,14
39000,1.07,1977,16482,14,14
62500,0.28,1990,16336,12,14
92000,0.35,1999,16277,12,14
84000,0.79,1998,16269,14,14
67500,1.07,1995,16186,14,17.5
21000,1.64,1993,16077,13,14
123000,2.67,1999,16047,16,20.5
87500,1.14,1997,15972,14,17.5
115000,0.72,1995,15954,16,20.5
77000,2.4,1998,15941,14,17.5
87500,0.43,1999,15918,14,14
87500,0.43,1999,15918,14,14
76000,2.44,1998,15897,14,14
67500,0.7,1995,15860,14,14
72000,1.54,1998,15845,12,14
90000,0.14,1999,15834,14,14
84000,1.27,1999,15805,14,14
86000,0.22,1995,15801,14,14
132500,1.12,2001,15800,14,20.5
67000,1.13,1990,15758,14,14
95000,0.26,1996,15737,14,14
91000,4.2,1996,15617,14,17.5
55000,0.2,1986,15600,12,14
58000,0.77,1984,15452,14,17.5
24000,1.2,1990,15420,14,14
52500,0.14,1985,15347,12,14
60000,0.52,1991,15306,12,14
