CollegeGPA,Gender,HSGPA,ACT,APHours,JobHours,School,LanguagesSpoken,HSHonorsClasses,SmokeInHS,PayCollegeNoLoans,ClubsInHS,JobInHS,Churchgoer,Height,Weight,Family,Pet
3.62,Female,3.18,25,0,0,Private,1,0,No,No,4,Yes,No,68,160,Youngest Child,Dog
3.2,Female,3.2,25,0,0,Private,1,0,No,No,3,Yes,No,65,140,Youngest Child,Dog
2.83,Male,3.4,28,0,0,Private,1,0,No,Yes,0,No,Yes,72,160,Youngest Child,Dog
3.48,Male,3.14,24,0,7,Private,1,0,No,Yes,18,Yes,Yes,73,185,Youngest Child,Dog
3.8,Male,4,24,0,12,Private,1,0,No,No,2,No,Yes,72.5,174,Youngest Child,Dog
3.39,Female,3.85,20,0,0,Public,1,0,No,Yes,2,No,Yes,64,102,Youngest Child,Dog
3.04,Male,3.6,22,0,0,Public,1,0,No,Yes,3,No,Yes,72,205,Middle Child,Dog
3.76,Female,3.25,23,0,0,Public,1,0,No,Yes,4,No,No,63,125,Youngest Child,Dog
2.36,Female,3.6,23,0,0,Public,1,0,No,No,1,No,No,62.5,150,Oldest Child,Dog
3.42,Male,3.64,24,0,0,Public,1,0,No,No,0,No,No,75,182,Only Child,Neither
2.13,Female,2.34,28,0,4,Public,1,0,No,Yes,3,No,No,67,120,Only Child,Dog
3.72,Female,3.9,21,0,20,Public,1,0,No,Yes,3,No,Yes,72,160,Youngest Child,Dog
2.7,Male,2.5,22,0,24,Public,1,0,No,Yes,3,Yes,Yes,70,190,Youngest Child,Neither
4,Male,3,24,0,28,Public,1,0,No,Yes,1,Yes,No,72,185,Oldest Child,Cat
3,Female,3.75,24,0,30,Public,1,0,Yes,No,3,No,No,63,123,Youngest Child,Dog
3.15,Female,3,27,0,0,Private,2,0,No,Yes,3,Yes,No,68,125,Youngest Child,Dog
3.5,Male,3.3,21,0,0,Public,2,0,No,No,0,No,No,70,185,Only Child,Both
3.2,Male,3.75,23,0,0,Public,2,0,No,Yes,0,No,No,68,160,Oldest Child,Neither
3.45,Female,3.6,24,0,0,Private,1,1,No,Yes,5,No,No,67,123,Youngest Child,Dog
3.46,Female,3.5,22,0,0,Public,1,1,Yes,Yes,3,Yes,No,69,133,Oldest Child,Dog
4,Female,4,28,0,0,Public,1,1,No,Yes,9,Yes,Yes,65,135,Youngest Child,Dog
3,Female,3.98,21,6,0,Public,1,1,Yes,Yes,6,Yes,Yes,62,160,Youngest Child,Cat
3,Female,3.6,23,6,0,Public,1,1,No,Yes,3,No,No,76,128,Youngest Child,Neither
3.26,Female,3.91,25,6,0,Private,2,1,No,Yes,3,Yes,No,66,158,Oldest Child,Dog
