County,Fips,Lat,Long
Appling,13001,31.7492,-82.2889
Atkinson,13003,31.2971,-82.8801
Bacon,13005,31.5537,-82.4527
Baker,13007,31.3262,-84.4447
Baldwin,13009,33.0692,-83.2496
Banks,13011,34.3541,-83.4974
Barrow,13013,33.9932,-83.7127
Bartow,13015,34.2377,-84.8403
Ben Hill,13017,31.7598,-83.2205
Berrien,13019,31.276,-83.2296
Bibb,13021,32.8065,-83.6974
Bleckley,13023,32.4344,-83.3279
Brantley,13025,31.1969,-81.9819
Brooks,13027,30.842,-83.5802
Bryan,13029,32.0145,-81.4436
Bulloch,13031,32.3968,-81.7432
Burke,13033,33.0611,-82.0009
Butts,13035,33.2879,-83.9572
Calhoun,13037,31.5292,-84.6245
Camden,13039,30.9306,-81.67
Candler,13043,32.4034,-82.0737
Carroll,13045,33.5828,-85.0798
Catoosa,13047,34.9036,-85.1382
Charlton,13049,30.7817,-82.1379
Chatham,13051,32.0042,-81.1328
Chattahoochee,13053,32.347,-84.787
Chattooga,13055,34.475,-85.3453
Cherokee,13057,34.2439,-84.4762
Clarke,13059,33.9512,-83.3673
Clay,13061,31.6263,-84.9801
Clayton,13063,33.5419,-84.3576
Clinch,13065,30.915,-82.7063
Cobb,13067,33.9415,-84.5767
Coffee,13069,31.5493,-82.8492
Colquitt,13071,31.1884,-83.7688
Columbia,13073,33.5441,-82.264
Cook,13075,31.154,-83.4305
Coweta,13077,33.3535,-84.7634
Crawford,13079,32.7145,-83.9863
Crisp,13081,31.9229,-83.7681
Dade,13083,34.8546,-85.5045
Dawson,13085,34.4443,-84.1706
Decatur,13087,30.8783,-84.579
DeKalb,13089,33.7715,-84.2264
Dodge,13091,32.1722,-83.1684
Dooly,13093,32.1572,-83.7988
Dougherty,13095,31.5335,-84.2164
Douglas,13097,33.7018,-84.768
Early,13099,31.3228,-84.9037
Echols,13101,30.7101,-82.894
Effingham,13103,32.3673,-81.3413
Elbert,13105,34.1168,-82.8401
Emanuel,13107,32.5897,-82.3017
Evans,13109,32.1568,-81.8869
Fannin,13111,34.8641,-84.3198
