Area,Price
3032,360000
2058,340000
1780,250000
1638,205500
2196,275500
1966,248000
2216,229900
1597,150000
1622,195000
1976,160000
2812,190000
2791,559000
3381,535000
3459,525000
2090,299900
3232,527000
1502,169900
2747,335250
2890,323900
1825,200000
1578,211000
1763,212000
2517,245000
1872,140400
3266,295000
2020,170900
2164,229000
2080,218500
2208,160000
3048,259000
1460,164500
2540,280000
2208,154000
2560,272000
2061,180000
1980,157500
3308,242500
2616,182000
1460,178000
1580,171900
1460,165500
1540,183500
1388,135000
1624,175000
1580,149500
1820,177500
1733,155000
1896,145000
2038,178000
1436,156000
1690,159000
1496,160000
1668,112000
980,84000
2562,155000
2304,360000
1268,104000
2283,420000
2060,355000
2087,165000
2081,244000
1696,179900
2222,253000
2110,200000
1774,200000
1592,147700
1748,188700
1985,177000
2558,585000
4000,549900
3942,675000
3889,830000
3857,920000
4756,855000
3302,585500
2629,399000
4418,790000
4746,665000
3242,725000
2464,647000
4419,780000
3877,657500
3808,578000
3376,500000
2940,484530
2654,609000
2672,635000
3386,519000
3648,625100
3455,585444
3321,399900
2817,389900
3210,649000
3588,535000
2705,640000
2344,600000
4264,582500
2615,545000
3608,480000
2479,595000
3251,610000
2547,570000
5032,479000
4973,545000
2582,335000
3139,629000
3516,505500
2129,528750
2936,370000
3351,529000
3136,490000
3525,535000
3917,612000
2702,442500
3644,500000
3072,539000
3233,545500
2918,424000
3266,325000
2940,367000
3430,470000
2472,393000
2878,530000
2537,400000
3858,403500
2742,550000
3460,380000
3836,500000
4453,465000
4080,451500
3301,336000
3828,550000
2973,450000
2821,440000
2950,515000
2362,415000
3092,380000
2866,489500
3369,478000
3068,460000
2380,379900
2225,390000
2655,338000
3855,675000
2892,440000
3832,500000
3164,470000
2620,317500
3076,430000
4022,430000
3377,475000
2858,389000
3540,400000
3045,395000
4150,395000
1778,296000
2412,387500
2668,353000
2274,350000
2936,437632
2526,447500
2449,318500
3131,352000
2536,295000
3314,313500
2230,330000
2631,400000
2638,325000
2756,340000
3262,399900
1936,249900
3148,389000
2616,364500
3630,357500
1954,295000
1926,274500
2556,259000
2282,415000
3314,443000
2001,249000
2607,330000
2840,291000
3036,418000
2240,320000
1788,264000
2620,381000
1480,250000
2588,360000
3138,369500
2460,285400
3566,409000
2692,333000
2958,362000
3164,387500
2058,239000
2717,299900
2920,335000
2554,275000
2805,328000
2736,333000
3516,397000
3536,374800
2138,520000
2718,325000
2178,295000
3152,415000
2611,224900
2060,265000
2448,299900
4050,390000
2414,271000
3072,330000
2525,350000
2866,310000
3246,340000
2707,307000
2300,304000
1860,275900
3636,315000
1910,295000
2280,251010
3386,335000
2324,343500
1970,297000
2062,281000
2617,235000
2612,237000
2472,274900
1922,229900
1852,259000
2239,245000
2068,208000
2101,421000
2200,320000
1972,256000
2007,275000
2612,222000
2124,249900
2612,273500
2548,218500
2767,377000
2025,220000
1956,192900
2460,298750
2764,315000
2004,315000
2852,465900
2096,239500
2330,276000
2520,226000
2528,235000
2030,247000
2208,182000
1500,180000
2078,249000
2442,260000
2612,219900
2268,295000
2734,290000
2228,300000
3000,354900
2404,261000
1840,174500
2107,244900
2788,274900
2416,214000
2430,283000
1584,177900
1873,237500
1644,202150
2400,235000
2094,217000
2561,285000
1752,217500
1738,210000
2068,183340
2428,252000
2090,237000
1820,205000
3219,285000
2654,210000
1802,280000
1765,207000
2786,221000
1794,257000
2768,274000
2288,262000
2028,204400
2620,254900
1644,244000
1888,213000
2116,240000
2313,235000
1824,206000
1942,237000
2184,274000
2578,275000
2036,218400
1384,156000
1826,220000
1681,171500
1726,180000
1910,204000
2664,307000
2116,265000
2030,209900
1940,173000
1676,189000
2120,222500
2152,265000
1984,264670
1575,200750
1798,227900
2017,255000
1904,208500
1718,226900
1776,215000
2609,222950
2226,239900
1556,176000
1764,228000
1626,204900
2012,258000
2090,241850
2192,198500
2228,243000
1825,187000
2132,233000
2160,205000
1974,205000
1696,189000
2132,204900
1814,239000
1796,193000
2268,260000
1719,188000
1704,190500
2142,230000
1705,240000
1752,235000
2554,275000
1650,205000
2816,280000
1919,190000
2080,232500
2108,259500
2480,275000
1746,183900
2703,290000
1640,217950
2196,220000
1701,185000
2250,288000
2502,197500
1762,179975
2016,195000
1904,228400
1652,194750
2042,195000
2019,210000
2791,239550
2514,242000
1746,185000
1930,175000
1552,165000
1566,185000
1669,173194
1814,205150
1794,214200
1691,182500
1834,205000
1984,208000
1966,225000
1669,170000
2132,216000
2007,180000
1964,169200
2325,213000
2196,210000
2061,185000
1828,179900
1956,196000
1852,219900
1795,159900
1580,170000
1708,169900
1700,189500
1742,195000
1890,215000
1512,171000
1840,179900
1060,120000
1540,175000
1550,232900
2787,229900
1528,174900
1928,168900
2329,229500
1940,236000
2114,205500
1799,212000
1864,205000
1581,193000
1652,180000
1592,184000
1520,144900
1792,255000
1464,137000
1702,178000
2180,296000
1486,186500
1364,170000
1540,219000
1608,188000
1668,195250
1944,175000
1883,215000
2215,197500
1916,249900
1508,180000
1809,174900
1958,189900
1592,154000
1636,150000
1800,189900
1600,157000
1550,182000
1578,187650
1644,175000
1556,189900
1672,175000
1650,159900
1676,184900
1960,174900
1649,143000
1728,164900
1586,173500
1592,161800
1514,148000
1952,177000
1550,149900
1544,170000
1566,142000
1650,186900
1392,152900
2981,350000
1412,130000
2180,167900
1704,184900
1600,178000
1276,111000
1666,207000
1760,190000
1836,230000
1636,165000
1748,210000
2556,226000
1511,149900
1524,155000
1821,219900
1596,132000
2392,195000
1748,155900
1384,119900
1628,175000
1911,304000
1624,190000
1956,229100
2012,187500
1590,173000
1687,170000
1816,179000
1622,162500
1604,172000
1592,153200
1922,220000
1892,174000
1628,200000
1644,161000
1450,135000
1592,190000
1654,153800
1388,144900
1670,165000
1953,186000
2008,167000
1650,189600
1578,170000
1618,189500
1642,153500
2008,159900
1604,158000
2035,175000
1534,147000
1624,155000
1700,150000
1630,165000
1526,147000
1672,146250
1588,177500
1752,153650
1674,199500
1980,186000
1396,139900
1178,160000
1263,125000
2377,359900
1304,184500
1340,155000
1559,150000
1412,146000
1198,129000
1424,145000
1370,200000
1584,149900
1567,132000
1409,136900
1655,137000
1944,185000
1922,133500
1480,124000
1184,95500
