Year,Team,NextYearsWins,Wins,OffTotYds,OffTotPlays,OffTotYdsperPly,OffTot1stDwns,OffPass1stDwns,OffRush1stDwns,OffTotTurnovers,OffFumblesLost,Off1stDwnsbyPenalty,OffPassComp,OffPassComp1,OffPassYds,OffPassTds,OffPassINTs,OffPassINT,OffPassLongest,OffPassYdsperAtt,OffPassAdjYdsperAtt,OffPassYdsperComp,OffPassYdsperGame,OffPasserRating,OffPassSacksAlwd,OffPassSackYds,OffPassNetYdsperAtt,OffPassAdjNetYdsperAtt,OffPassSack,OffGameWinningDrives,OffRushYds,OffRushTds,OffRushLongest,OffRushYdsperAtt,OffRushYdsperGame,OffFumbles,OffPuntReturns,OffPRYds,OffPRTds,OffPRLongest,OffPRYdsperAtt,OffKickReturns,OffKRYds,OffKRTds,OffKRLongest,OffKRYdsperAtt,OffAllPurposeYds,X119ydFGAtt,X119ydFGMade,X2029ydFGAtt,X2029ydFGMade,X129ydFG,X3039ydFGAtt,X3039ydFGMade,X3039ydFG,X4049ydFGAtt,X4049ydFGMade,X50ydFGAtt,X50ydFGMade,X40ydFG,TotalFGAtt,OffTotFGMade,OffTotFG,OffXPAtt,OffXPMade,OffXP,OffTimesPunted,OffPuntYards,OffLongestPunt,OffTimesHadPuntBlocked,OffYardsPerPunt,FmblTds,DefINTTdsScored,BlockedKickorMissedFGRetTds,TotalTdsScored,Off2ptConvMade,DefSafetiesScored,DefTotYdsAlwd,DefTotPlaysAlwd,DefTotYdsperPlayAlwd,DefTot1stDwnsAlwd,DefPass1stDwnsAlwd,DefRush1stDwnsAlwd,DefTurnoversCreated,DefFumblesRecovered,Def1stDwnsAlwdbyPenalty,DefPassCompAlwd,DefPassAttAlwd,DefPassCompAlwd,DefPassYdsAlwd,DefPassTdsAlwd,DefPassTDAlwd,DefPassINTs,DefPassINT,DefPassYdsperAttAlwd,DefPassAdjYdsperAttAlwd,DefPassYdsperCompAlwd,DefPassYdsperGameAlwd,DefPasserRatingAlwd,DefPassSacks,DefPassSackYds,DefPassNetYdsperAttAlwd,DefPassAdjNetYdsperAttAlwd,DefPassSack,DefRushYdsAlwd,DefRushTdsAlwd,DefRushYdsperAttAlwd,DefRushYdsperGameAlwd,DefPuntReturnsAlwd,DefPRTdsAlwd,DefKickReturnsAlwd,DefKRYdsAlwd,DefKRTdsAlwd,DefKRYdsperAttAlwd,DefTotFGAttAlwd,DefTotFGMadeAlwd,DefTotFGAlwd,DefXPAttAlwd,DefXPMadeAlwd,DefXPAlwd,DefPuntsAlwd,DefPuntYdsAlwd,DefPuntYdsperAttAlwd,Def2ptConvAlwd,OffSafeties,OffRushSuccessRate,HeadCoachDisturbance,QBDisturbance,RBDisturbance,OffRunPassRatio,OffPassPly,OffRunPly,OffYdsPt,DefYdsPt,OffPassDroprate,DefPassDropRate
2002,Arizona,4,5,45.63,1003,4.5,274,148,94,35,13,32,291,53.1,2740,18,22,4,80,5.5,4.4,10.4,171.3,63.7,41,298,4.7,3.6,7,4,1823,10,58,4.4,113.9,26,36,221,0,22,6.1,81,1797,1,95,22.2,6581,0,0,7,6,0.85714286,2,2,1,8,6,4,1,0.58333333,21,15,0.714,29,29,1,89,3908,58,1,43.9,0,2,0,31,1,0,6020,1046,5.8,335,196,117,25,8,22,335,535,62.6,3874,29,5.4,17,3.2,7.5,7.1,12,242.1,90.3,21,131,7,6.6,3.8,2146,17,4.4,134.1,42,3,58,1407,0,24.3,29,22,0.759,49,49,1,65,2730,42,0,1,0.39830508,No,Yes,No,0.70288625,0.58723829,0.41276171,17.4160305,14.4364508,7.76515152,5.92734226
2003,Arizona,6,4,44.9,981,4.6,256,147,80,36,14,29,303,56.7,2959,18,22,4.1,71,6.1,4.9,10.8,184.9,68.9,44,306,5.1,4,7.6,3,1531,5,36,3.8,95.7,29,22,140,0,19,6.4,82,1881,1,100,22.9,6511,0,0,8,8,1,10,5,0.5,5,4,3,1,0.625,26,18,0.692,20,19,0.95,83,3554,64,1,42.8,0,1,0,25,1,0,5504,993,5.5,326,184,120,23,10,22,311,497,62.6,3589,29,5.8,13,2.6,7.4,7.4,11.9,224.3,93.7,21,97,6.9,6.9,4.1,1295,10,3.8,80.9,41,2,48,1042,0,21.7,28,21,0.75,53,53,1,67,2680,40,0,3,0.41964286,Yes,Yes,Yes,0.69723183,0.5891947,0.4108053,19.9555556,12.1769912,5.39499037,5.05050505
2004,Arizona,5,6,45.5,1047,4.3,280,152,86,29,11,42,299,56.1,2882,14,18,3.4,48,6,5,10.7,180.1,68.5,39,320,5,4.1,6.8,2,1668,15,62,3.5,104.3,34,49,329,0,38,6.7,65,1293,0,71,19.9,6172,0,0,6,6,1,7,5,0.71428571,7,6,9,5,0.6875,29,22,0.759,28,28,1,99,4273,57,1,43.2,1,1,0,31,1,1,5141,993,5.2,282,153,101,30,15,28,271,505,53.7,3036,18,3.6,15,3,6.5,5.8,12,189.8,73.2,38,229,5.6,5,7,2105,12,4.7,131.6,56,1,46,1017,1,22.1,26,25,0.962,30,29,0.967,97,4064,41.9,4,0,0.40047962,No,Yes,Yes,0.83041958,0.54632283,0.45367717,16.0211268,15.9658385,3.40909091,6.01202405
2005,Arizona,5,5,55.75,1075,5.2,304,224,58,37,16,22,419,62.5,4437,21,21,3.1,63,7,6.3,11.3,277.3,81,45,286,6.2,5.5,6.3,2,1138,2,32,3.2,71.1,26,50,383,0,32,7.7,76,1719,0,90,22.6,7677,1,1,11,11,1,12,12,1,14,13,7,6,0.9047619,45,43,0.956,20,20,1,74,3250,60,1,43.9,0,3,0,26,3,0,4729,936,5.1,272,158,83,26,11,31,301,488,61.7,3097,17,3.5,15,3.1,6.8,6.1,11,193.6,80.6,37,217,5.9,5.3,7,1632,22,4,102,39,1,60,1700,3,28.3,24,21,0.875,45,44,0.978,85,3748,44.1,1,1,0.39393939,No,Yes,Yes,0.5034965,0.66511628,0.33488372,17.926045,12.2196382,3.7993921,5.88235294
2006,Arizona,8,5,50,999,5,298,187,84,30,13,27,322,59.1,3662,17,17,3.1,64,7.2,6.4,12.2,228.9,78.7,35,262,6.3,5.6,6,1,1338,12,18,3.2,83.6,31,25,250,0,37,10,73,1610,1,99,22.1,6860,0,0,11,11,1,9,9,1,10,7,7,1,0.47058824,37,28,0.757,32,32,1,68,3055,58,2,44.9,2,1,0,33,0,0,5591,1018,5.5,331,186,114,33,17,31,321,522,61.5,3694,21,4,16,3.1,7.5,7,12.2,230.9,85.4,38,238,6.6,6.1,6.8,1897,16,4.1,118.6,44,1,58,1481,0,25.5,34,31,0.912,42,42,1,58,2598,44.8,0,1,0.44179894,Yes,Yes,No,0.72241379,0.58058058,0.41941942,15.9235669,14.3727506,4.51977401,5.82524272
2007,Arizona,9,8,55.05,1016,5.4,308,210,70,36,12,28,356,60.3,4065,32,24,4.1,62,7.2,6.4,11.9,254.1,83.4,24,163,6.6,5.9,3.9,2,1440,9,27,3.6,90,27,42,395,1,73,9.4,74,1682,0,59,22.7,7582,2,2,5,5,1,8,6,0.75,6,5,9,3,0.53333333,30,21,0.7,48,47,0.979,80,3238,61,1,40.5,1,6,0,49,0,0,5283,1013,5.2,298,185,90,29,11,23,361,570,63.3,3716,26,4.6,18,3.2,6.9,6.4,11,232.3,85.8,36,242,6.1,5.7,5.9,1567,13,3.9,97.9,38,1,60,1389,0,23.2,33,28,0.848,39,39,1,73,3183,43.6,2,1,0.4496124,No,No,No,0.65472313,0.60433071,0.39566929,13.6262376,13.2406015,4.96575342,6.40569395
2008,Arizona,10,9,58.52,998,5.9,328,231,72,30,15,25,418,66.3,4674,31,15,2.4,79,7.7,7.7,11.7,292.1,96.1,28,201,7.1,7,4.3,2,1178,14,35,3.5,73.6,27,33,237,0,25,7.2,75,1630,1,93,21.7,7719,0,0,9,9,1,11,9,0.81818182,6,6,2,1,0.875,28,25,0.893,44,44,1,60,2509,59,0,41.8,1,2,2,51,1,0,5304,993,5.3,312,172,117,30,17,23,323,517,62.5,3540,36,7,13,2.5,7.2,7.5,11.6,221.3,96.9,31,191,6.5,6.7,5.7,1764,13,4,110.3,29,1,69,1724,1,25,27,21,0.778,49,49,1,61,2776,45.5,3,0,0.40983607,No,No,Yes,0.51671733,0.65931864,0.34068136,13.704918,12.4507042,4.18006431,5.45808967
2009,Arizona,5,10,55.1,985,5.6,317,215,77,36,18,25,392,66,4016,27,18,3,45,7.1,6.6,10.7,251,89.1,26,184,6.5,6,4.2,2,1494,16,50,4.1,93.4,32,45,308,0,64,6.8,54,1284,1,99,23.8,7102,1,1,4,4,1,6,6,1,8,7,0,0,0.875,19,18,0.947,46,45,0.978,86,4045,64,0,47,0,1,1,46,0,0,5543,1038,5.3,289,188,81,29,8,20,346,593,58.3,3739,22,3.7,21,3.5,6.7,5.9,11.6,233.7,76.4,43,259,5.9,5.1,6.8,1804,13,4.5,112.8,47,0,61,1248,0,20.5,25,19,0.76,38,38,1,84,3772,44.9,0,1,0.49244713,No,Yes,Yes,0.58870968,0.62944162,0.37055838,14.6933333,17.0553846,3.92491468,3.5472973
2010,Arizona,8,5,43.09,931,4.6,241,154,67,35,16,20,285,50.8,2921,10,19,3.4,74,5.8,4.7,11.5,182.6,60.5,50,343,4.8,3.7,8.2,3,1388,9,80,4.3,86.8,33,42,294,0,25,7,84,2084,2,102,24.8,6687,0,0,8,8,1,6,6,1,10,8,3,2,0.76923077,27,24,0.889,29,29,1,94,4080,65,0,43.4,7,3,0,31,1,0,5977,1092,5.5,339,178,123,30,13,38,324,533,60.8,3654,22,4.1,17,3.2,7.3,6.7,12,228.4,83.5,33,227,6.5,5.9,5.8,2323,19,4.4,145.2,35,0,51,1234,0,24.2,51,40,0.784,45,44,0.978,64,3066,47.9,0,0,0.44481605,No,Yes,Yes,0.52373159,0.65628357,0.34371643,14.9100346,13.7718894,7.23327306,4.92424242
2011,Arizona,5,8,51.92,993,5.2,286,175,83,32,9,28,307,55.8,3567,21,23,4.2,73,7.2,6.1,12.9,222.9,73.9,54,387,5.9,4.9,8.9,6,1625,12,71,4.2,101.6,24,46,696,4,99,15.1,52,1246,0,51,24,7521,0,0,9,9,1,6,4,0.66666667,7,5,2,1,0.66666667,24,19,0.792,33,33,1,92,4141,66,0,45,0,0,0,37,0,0,5682,1095,5.2,333,174,118,19,9,41,340,578,58.8,3696,17,2.9,10,1.7,6.9,6.7,11.8,231,82.5,42,304,6,5.8,6.8,1986,15,4.2,124.1,50,1,52,1300,0,25,48,35,0.729,33,33,1,92,0,0,0,3,0.49852507,No,No,Yes,0.64403974,0.6082578,0.3917422,16.6410256,16.3275862,4.99075786,4.37062937
