Gender,Weight,DesiredWeight,Class,BornInTN,Greek,UTFirstChoice,Churchgoer,ParentsMarried,GPA,SittingLocation,WeeklyHoursStudied,Scholarship,FacebookFriends,AgeFirstKiss,CarYear,DaysPerWeekAlcohol,NumDrinksParty,CellProvider,FreqDroppedCalls,MarriedAt,KidsBy,Computer,FastestDrivingSpeed,BusinessMajor,Major,TxtsPerDay,FootballGames,HoursWorkOut,MilesToSchool,MoneyInBank,MoneyOnHaircut,PercentTuitionYouPay,SongsDownloaded,ParentCollegeGraduate,HoursSleepPerNight,Last2DigitsPhone,NumClassesMissed,BooksReadThisYear,UseChopsticks,YourAttractiveness,Obama,HoursWorkedPerWeek,MoviesInTheater,KnowSomeoneH1N1,ReadBeacon
Male,146,170,Junior,No,No,No,No,Yes,3.47,Back,1,No,30,NA,2009,NA,11,ATT,Occasionally,NA,NA,Windows,142,Yes,NonBusiness,2,0,7,14,-999,20,100,10000,Yes,12,92,5,4,No,1,NotVote,0,0,No,No
Female,176,167,Junior,Yes,Yes,No,Yes,No,2.97,Front,2,Yes,470,17,2003,2,5,USCellar,Rarely,25,27,Windows,85,Yes,NonBusiness,300,2,1,0,2700,0,0,0,No,6,85,15,0,No,4,Yes,35,3,Yes,No
Female,130,130,Sophmore,Yes,Yes,Yes,Yes,Yes,3.74,Front,15,Yes,644,12,2001,1,2,Verizon,Occasionally,27,30,Windows,90,Yes,NonBusiness,20,6,5,0,3000,35,0,0,Yes,7,28,0,4,Yes,4,Yes,5,6,Yes,No
Female,472,63,Senior,Yes,Yes,Yes,Yes,No,1.25,Front,23,Yes,4975,21,1942,7,56,ATT,Often,43,76,Mac,23,No,Business,946,13,163,323,2783684,964,40,666,No,24,11,124,888,Yes,5,Yes,168,875,Yes,Yes
Male,16,6,Senior,Yes,Yes,Yes,Yes,No,4,Varies,24,Yes,1,3,2011,7,100,USCellar,Rarely,4,2,Mac,300,No,Business,1000,14,168,500,1,1000,2,3,No,24,34,150,1000,No,5,Yes,168,1000,No,Yes
Female,200,140,Sophmore,Yes,No,Yes,No,No,3.79,Front,3,Yes,304,NA,2007,1,5,Verizon,Occasionally,25,27,Windows,93,No,NonBusiness,75,0,2,0,-999,25,0,0,No,6,7,1,10,No,2,Yes,8,15,No,Yes
Male,213,225,Junior,No,No,No,No,No,2.64,Back,4,No,273,16,1997,4,7,ATT,Occasionally,29,29,Windows,143,Yes,Business,7,2,7,10,234.76,15,75,0,No,5,68,4,2,No,3,NotVote,20,11,No,Yes
Female,150,130,Sophmore,Yes,No,Yes,Yes,No,2.7,Front,3,Yes,549,15,1986,NA,NA,Verizon,Rarely,26,29,Windows,95,No,NonBusiness,50,4,4,0,-999,35,25,20,Yes,6,26,3,5,Yes,3,No,40,5,Yes,No
Male,160,175,Junior,Yes,No,No,No,Yes,2.8,Varies,3,Yes,129,13,2004,NA,NA,Verizon,Rarely,25,28,Windows,95,No,NonBusiness,80,8,7,0,-999,12,59,0,Yes,7,65,0,0,No,4,NotVote,0,2,No,No
Female,140,130,Sophmore,Yes,Yes,Yes,No,Yes,3,Front,2,No,1115,13,2002,2,3,Verizon,Rarely,24,26,Mac,85,No,NonBusiness,20,10,4,0,999,15,0,0,Yes,8,39,5,0,No,4,No,0,2,Yes,No
Male,170,155,Sophmore,Yes,No,Yes,No,No,3.1,Middle,2,Yes,371,17,1997,NA,NA,Verizon,Rarely,29,NA,Windows,100,Yes,Business,30,6,0,2,120,0,0,0,Yes,7,90,2,15,No,2,Yes,35,20,No,Yes
Female,123,118,Junior,Yes,No,No,No,Yes,3.8,Front,2,Yes,258,14,1993,3,2,Verizon,Rarely,26,30,Windows,90,No,NonBusiness,10,5,5,0,999,30,0,0,Yes,6,44,1,1,No,4,NotVote,0,2,Yes,Yes
Female,177,165,Sophmore,No,No,No,Yes,Yes,2.86,Middle,5,Yes,268,16,2007,1,2,Verizon,Occasionally,27,28,Windows,120,No,NonBusiness,45,8,17,3,999,1000,0,2,No,7,21,0,4,Yes,3,Yes,0,1,Yes,No
Female,125,115,Sophmore,Yes,Yes,Yes,Yes,Yes,3.75,Back,1,Yes,1089,13,2004,2,3,ATT,Occasionally,25,28,Windows,110,Yes,NonBusiness,150,7,2,0,99.98,40,0,5,No,8,7,5,1,Yes,4,NotVote,0,5,Yes,No
Female,180,150,Sophmore,No,Yes,Yes,Yes,Yes,3.6,Front,2,Yes,337,1,2003,1,3,ATT,Often,28,32,Windows,90,No,NonBusiness,10,2,1,0,1200,45,0,0,Yes,8,8,1,4,No,3,No,0,15,Yes,No
Male,195,185,Junior,Yes,No,Yes,Yes,Yes,2.82,Middle,20,Yes,750,15,2000,2,8,Verizon,Rarely,27,29,Windows,105,Yes,Business,50,9,7,0,999,10,30,20,Yes,6,89,0,5,Yes,3,No,10,5,Yes,Yes
Male,170,160,Junior,Yes,No,Yes,No,No,3.24,Middle,2,Yes,312,14,2003,1,5,Verizon,Rarely,NA,30,Windows,105,No,NonBusiness,40,3,4,0,-999,24,10,12,No,7,3,3,4,Yes,3,Yes,20,4,Yes,No
Female,165,153,Sophmore,No,No,No,No,No,2.6,Middle,3,Yes,624,14,2009,3,4,Verizon,Rarely,30,33,Windows,115,No,NonBusiness,15,7,22,0,534,23,0,0,Yes,8,67,1,1,Yes,3,Yes,0,2,Yes,No
Female,135,120,Sophmore,No,No,Yes,Yes,Yes,3,Front,4,Yes,842,14,1995,3,5,ATT,Rarely,27,28,Windows,97,Yes,Business,100,3,5,0,4552,30,0,0,Yes,6,96,2,7,Yes,3,No,25,2,No,No
Female,160,145,Junior,Yes,Yes,No,No,No,3.07,Front,6,Yes,500,14,1998,4,8,ATT,Occasionally,35,35,Mac,110,No,NonBusiness,60,6,4,2,100,55,0,60,Yes,8,35,15,4,No,3,NotVote,0,5,Yes,No
