TipPercentage,Bill,Tip,Gender,Smoker,Weekday,Time,PartySize
5.94,16.99,1.01,Female,No,Sunday,Night,2
16.1,10.34,1.66,Male,No,Sunday,Night,3
16.7,21.01,3.5,Male,No,Sunday,Night,3
14,23.68,3.31,Male,No,Sunday,Night,2
14.7,24.59,3.61,Female,No,Sunday,Night,4
18.6,25.29,4.71,Male,No,Sunday,Night,4
22.8,8.77,2,Male,No,Sunday,Night,2
11.6,26.88,3.12,Male,No,Sunday,Night,4
13,15.04,1.96,Male,No,Sunday,Night,2
21.9,14.78,3.23,Male,No,Sunday,Night,2
16.7,10.27,1.71,Male,No,Sunday,Night,2
14.2,35.26,5,Female,No,Sunday,Night,4
10.2,15.42,1.57,Male,No,Sunday,Night,2
16.3,18.43,3,Male,No,Sunday,Night,4
20.4,14.83,3.02,Female,No,Sunday,Night,2
18.2,21.58,3.92,Male,No,Sunday,Night,2
16.2,10.33,1.67,Female,No,Sunday,Night,3
22.8,16.29,3.71,Male,No,Sunday,Night,3
20.6,16.97,3.5,Female,No,Sunday,Night,3
16.2,20.65,3.35,Male,No,Saturday,Night,3
22.8,17.92,4.08,Male,No,Saturday,Night,2
13.6,20.29,2.75,Female,No,Saturday,Night,2
14.1,15.77,2.23,Female,No,Saturday,Night,2
19.2,39.42,7.58,Male,No,Saturday,Night,4
16,19.82,3.18,Male,No,Saturday,Night,2
13.1,17.81,2.34,Male,No,Saturday,Night,4
15,13.37,2,Male,No,Saturday,Night,2
15.8,12.69,2,Male,No,Saturday,Night,2
19.8,21.7,4.3,Male,No,Saturday,Night,2
15.3,19.65,3,Female,No,Saturday,Night,2
15.2,9.55,1.45,Male,No,Saturday,Night,2
13.6,18.35,2.5,Male,No,Saturday,Night,4
19.9,15.06,3,Female,No,Saturday,Night,2
11.8,20.69,2.45,Female,No,Saturday,Night,4
18.4,17.78,3.27,Male,No,Saturday,Night,2
15,24.06,3.6,Male,No,Saturday,Night,3
12.3,16.31,2,Male,No,Saturday,Night,3
18.1,16.93,3.07,Female,No,Saturday,Night,3
12.4,18.69,2.31,Male,No,Saturday,Night,3
16,31.27,5,Male,No,Saturday,Night,3
14,16.04,2.24,Male,No,Saturday,Night,3
14.5,17.46,2.54,Male,No,Sunday,Night,2
22,13.94,3.06,Male,No,Sunday,Night,2
13.6,9.68,1.32,Male,No,Sunday,Night,2
18.4,30.4,5.6,Male,No,Sunday,Night,4
16.4,18.29,3,Male,No,Sunday,Night,2
22.5,22.23,5,Male,No,Sunday,Night,2
18.5,32.4,6,Male,No,Sunday,Night,4
7.18,28.55,2.05,Male,No,Sunday,Night,3
16.6,18.04,3,Male,No,Sunday,Night,2
19.9,12.54,2.5,Male,No,Sunday,Night,2
25.3,10.29,2.6,Female,No,Sunday,Night,2
14.9,34.81,5.2,Female,No,Sunday,Night,4
15.7,9.94,1.56,Male,No,Sunday,Night,2
17,25.56,4.34,Male,No,Sunday,Night,4
18,19.49,3.51,Male,No,Sunday,Night,2
7.89,38.01,3,Male,Yes,Saturday,Night,4
5.68,26.41,1.5,Female,No,Saturday,Night,2
15.7,11.24,1.76,Male,Yes,Saturday,Night,2
13.9,48.27,6.73,Male,No,Saturday,Night,4
15.8,20.29,3.21,Male,Yes,Saturday,Night,2
14.5,13.81,2,Male,Yes,Saturday,Night,2
18,11.02,1.98,Male,Yes,Saturday,Night,2
20.6,18.29,3.76,Male,Yes,Saturday,Night,4
15,17.59,2.64,Male,No,Saturday,Night,3
15.7,20.08,3.15,Male,No,Saturday,Night,3
15,16.45,2.47,Female,No,Saturday,Night,2
32.6,3.07,1,Female,Yes,Saturday,Night,1
9.94,20.23,2.01,Male,No,Saturday,Night,2
13.9,15.01,2.09,Male,Yes,Saturday,Night,2
16.4,12.02,1.97,Male,No,Saturday,Night,2
17.6,17.07,3,Female,No,Saturday,Night,3
11.7,26.86,3.14,Female,Yes,Saturday,Night,2
19.8,25.28,5,Female,Yes,Saturday,Night,2
14.9,14.73,2.2,Female,No,Saturday,Night,2
11.9,10.51,1.25,Male,No,Saturday,Night,2
17.2,17.92,3.08,Male,Yes,Saturday,Night,2
14.7,27.2,4,Male,No,Thursday,Day,4
13.2,22.76,3,Male,No,Thursday,Day,2
15.7,17.29,2.71,Male,No,Thursday,Day,2
15.4,19.44,3,Male,Yes,Thursday,Day,2
20.4,16.66,3.4,Male,No,Thursday,Day,2
18.2,10.07,1.83,Female,No,Thursday,Day,1
15.3,32.68,5,Male,Yes,Thursday,Day,2
12.7,15.98,2.03,Male,No,Thursday,Day,2
14.8,34.83,5.17,Female,No,Thursday,Day,4
15.3,13.03,2,Male,No,Thursday,Day,2
21.9,18.28,4,Male,No,Thursday,Day,2
23.7,24.71,5.85,Male,No,Thursday,Day,2
14.2,21.16,3,Male,No,Thursday,Day,2
10.4,28.97,3,Male,Yes,Friday,Night,2
15.6,22.49,3.5,Male,No,Friday,Night,2
17.4,5.75,1,Female,Yes,Friday,Night,2
26.3,16.32,4.3,Female,Yes,Friday,Night,2
14.3,22.75,3.25,Female,No,Friday,Night,2
11.8,40.17,4.73,Male,Yes,Friday,Night,4
14.7,27.28,4,Male,Yes,Friday,Night,2
12.5,12.03,1.5,Male,Yes,Friday,Night,2
14.3,21.01,3,Male,Yes,Friday,Night,2
12,12.46,1.5,Male,No,Friday,Night,2
22,11.35,2.5,Female,Yes,Friday,Night,2
19.5,15.38,3,Female,Yes,Friday,Night,2
5.64,44.3,2.5,Female,Yes,Saturday,Night,3
15.5,22.42,3.48,Female,Yes,Saturday,Night,2
19.5,20.92,4.08,Female,No,Saturday,Night,2
10.7,15.36,1.64,Male,Yes,Saturday,Night,2
19.8,20.49,4.06,Male,Yes,Saturday,Night,2
17,25.21,4.29,Male,Yes,Saturday,Night,2
20.6,18.24,3.76,Male,No,Saturday,Night,2
28,14.31,4,Female,Yes,Saturday,Night,2
21.4,14,3,Male,No,Saturday,Night,2
13.8,7.25,1,Female,No,Saturday,Night,1
10.5,38.07,4,Male,No,Sunday,Night,3
10.6,23.95,2.55,Male,No,Sunday,Night,2
15.6,25.71,4,Female,No,Sunday,Night,3
20.2,17.31,3.5,Female,No,Sunday,Night,2
16.9,29.93,5.07,Male,No,Sunday,Night,4
14.1,10.65,1.5,Female,No,Thursday,Day,2
14.5,12.43,1.8,Female,No,Thursday,Day,2
12.1,24.08,2.92,Female,No,Thursday,Day,4
19.8,11.69,2.31,Male,No,Thursday,Day,2
12.5,13.42,1.68,Female,No,Thursday,Day,2
17.5,14.26,2.5,Male,No,Thursday,Day,2
12.5,15.95,2,Male,No,Thursday,Day,2
20.2,12.48,2.52,Female,No,Thursday,Day,2
14.1,29.8,4.2,Female,No,Thursday,Day,6
17.4,8.52,1.48,Male,No,Thursday,Day,2
13.8,14.52,2,Female,No,Thursday,Day,2
17.6,11.38,2,Female,No,Thursday,Day,2
9.55,22.82,2.18,Male,No,Thursday,Day,3
7.86,19.08,1.5,Male,No,Thursday,Day,2
14,20.27,2.83,Female,No,Thursday,Day,2
13.4,11.17,1.5,Female,No,Thursday,Day,2
16.3,12.26,2,Female,No,Thursday,Day,2
17.8,18.26,3.25,Female,No,Thursday,Day,2
14.7,8.51,1.25,Female,No,Thursday,Day,2
19.4,10.33,2,Female,No,Thursday,Day,2
14.1,14.15,2,Female,No,Thursday,Day,2
12.5,16,2,Male,Yes,Thursday,Day,2
20.9,13.16,2.75,Female,No,Thursday,Day,2
20,17.47,3.5,Female,No,Thursday,Day,2
19.5,34.3,6.7,Male,No,Thursday,Day,6
12.1,41.19,5,Male,No,Thursday,Day,5
18.5,27.05,5,Female,No,Thursday,Day,6
14,16.43,2.3,Female,No,Thursday,Day,2
18,8.35,1.5,Female,No,Thursday,Day,2
7.3,18.64,1.36,Female,No,Thursday,Day,3
