ST_CO,UID,Sale Date,Sale Amount,Property Type,Census Block,Census Track,Zip Code
TN161,1656469,7/19/2022,260000,0,1,110700,37058-3521
GA121,495989,6/11/2021,530000,0,1,11639,30009-3162
GA313,841159,12/17/2020,120000,8,1,502,30720-8216
TN189,1253393,2/19/2019,486475,0,1,30908,37122-4446
GA117,948252,1/3/2018,244900,0,3,130601,30040-6346
GA217,677019,5/24/2018,382900,0,3,100202,30014-3618
GA135,23173,2/15/2022,2355300,0,2,50578,30043-3705
GA091,596794,9/13/2019,8700,11,4,960200,31023-2906
GA135,240411,7/7/2022,23000000,8,2,50215,30096-5833
TN093,1754737,6/30/2022,750000,0,1,4401,37919-7205
GA067,245880,2/13/2019,280000,0,1,30275,30144-5111
TN065,1309384,2/17/2022,320000,0,3,11323,37421-1284
GA121,370740,7/29/2020,185000,0,3,11100,30344-2813
TN107,1463318,5/22/2018,152500,0,3,970202,37303-2210
GA139,123388,7/2/2018,205000,0,2,307,30506-2003
TN037,1438724,1/7/2021,435000,0,2,11500,37216-4114
TN093,1874390,12/13/2019,2000000,0,1,1500,37917
GA051,58162,10/29/2020,312000,0,2,10817,31419-6821
GA177,969946,3/29/2019,190000,0,3,20403,31763-5880
TN013,1527301,5/13/2021,4250,2,1,950200,37762
GA131,234228,5/14/2020,60000,0,4,950502,39828-6925
TN099,1474559,5/5/2021,249900,0,2,960402,38464-6250
GA285,859939,3/11/2022,254000,0,2,960102,30230-1123
GA121,246245,10/1/2021,850000,0,1,10108,30350-5415
GA213,724849,1/11/2021,26000,0,1,10700,30705-5429
GA295,630934,8/20/2021,167900,0,5,20302,30741-6038
GA157,978282,9/1/2022,160000,0,3,10107,30549-7952
GA299,1045829,2/19/2021,90000,0,3,950200,31503-0108
TN065,1090769,12/17/2018,177000,0,1,11700,37412-2979
GA247,849254,9/30/2019,120000,0,3,60305,30013-5713
GA047,1096262,5/25/2018,151000,0,4,30600,30742-3015
GA089,393499,11/2/2020,269700,0,1,23107,30032-2564
TN063,1395023,6/15/2018,250000,0,4,101100,37877-2902
TN125,1577790,3/4/2022,277000,0,4,102001,37040-6521
TN157,1533835,6/21/2018,499550,0,4,21357,38139-5505
GA077,1220624,6/19/2020,260000,0,5,170200,30263-1761
GA193,821697,3/19/2020,90000,0,1,400,31063-7000
GA135,388755,11/5/2021,350000,0,1,50117,30518-7973
GA151,525687,12/27/2021,418805,0,3,70314,30228-3804
GA151,229387,2/12/2020,8500,0,2,70408,30252
TN167,1272247,7/26/2019,130000,0,1,40302,38053-1104
TN093,1393493,6/4/2018,172500,0,1,4300,37918-2614
TN125,1200914,5/5/2021,242500,0,1,101904,37043-1100
TN001,1070015,7/2/2018,87000,0,2,21303,37849-7178
GA057,2118,2/18/2021,327300,0,2,90101,30107-3419
GA045,963307,5/16/2022,25000,0,1,910302,30108-2147
GA151,247826,4/16/2020,149500,0,1,70116,30236-5501
GA295,527034,10/23/2018,56000,0,2,20200,30741-2200
GA117,827859,5/4/2021,630000,0,2,130307,30040-0280
GA067,1009833,6/27/2018,212000,0,1,31004,30060-6638
GA217,930355,5/24/2022,7790000,0,1,100302,30014-3146
GA135,134241,10/12/2018,315000,0,2,50621,30019-2951
TN157,1898474,6/18/2021,250000,16,1,7000,38111-4132
TN157,1548702,7/6/2018,274500,0,3,20902,38002-3891
TN187,1508063,4/30/2021,430000,0,2,50909,37064-0601
GA117,393098,3/27/2020,365000,0,1,130604,30041-7830
TN179,1301876,9/27/2018,108000,0,2,60901,37601-9011
TN165,1888746,4/20/2018,113000,0,1,21106,37075-4134
GA121,672905,3/28/2018,215000,0,2,11100,30344-2745
GA089,178160,6/23/2022,583000,0,1,21812,30340-4500
TN065,1517354,6/7/2022,242000,0,1,10201,37379-8095
GA121,445526,5/24/2021,525000,0,1,8801,30318-1171
TN031,1218220,1/21/2022,328000,0,1,970804,37388-5210
TN185,1349662,3/1/2019,115000,0,1,935500,38579-2340
TN037,1141420,8/18/2021,100000,0,4,13600,37209-3801
TN149,1206018,11/15/2022,303000,0,1,40909,37128-2215
TN099,1331036,12/17/2018,160000,0,4,960401,38464-2910
GA247,864623,2/28/2020,155000,0,2,60313,30013-2210
GA223,750412,1/18/2019,118000,0,2,120305,30157-3413
GA299,1037020,8/21/2020,101000,0,4,950500,31501-7054
TN103,1770725,8/24/2021,428470,11,1,975000,37334-6576
GA139,316017,8/3/2020,337000,0,1,1611,30542-5124
TN187,1757621,3/21/2022,3900000,0,3,51100,37046-1527
TN055,1657823,12/6/2022,74273,0,2,920800,38449-3136
GA097,412598,2/25/2021,257490,0,3,80407,30180-7088
TN157,1814777,4/20/2021,399900,0,2,21355,38125-8834
GA215,767240,1/31/2018,209200,0,2,10209,31808-6976
TN151,1289624,4/17/2019,85000,0,3,975000,37841-3644
TN149,1670012,9/30/2021,649900,0,2,40501,37129-0402
TN157,1782224,3/17/2021,209227,8,3,7300,38111-5910
GA137,468655,10/2/2018,154600,0,1,204,30523-5193
GA225,669662,9/24/2019,25000,0,2,40101,31008-5453
TN103,1732493,2/14/2020,32500,0,3,975602,37334-6042
GA015,735709,12/11/2020,390000,11,1,960302,30120-5356
TN079,1863596,5/10/2019,340000,8,2,969501,38242-9269
TN157,1607947,10/29/2020,175000,0,1,20541,38128-4868
TN065,1361236,6/10/2020,62500,13,1,10434,37415
GA095,785785,5/17/2019,199000,0,1,10401,31721-1583
GA219,978378,4/6/2018,301125,0,3,30104,30677-7869
TN063,1526565,2/3/2022,15500,0,2,100400,37814
TN011,1282742,12/3/2020,325000,0,1,10500,37311-1939
TN149,1816479,5/21/2020,299900,0,2,41406,37130-3151
TN037,1421094,12/22/2020,169000,0,4,17402,37211-2525
GA219,537461,1/31/2020,250000,0,4,30104,30622-8302
GA119,338016,5/8/2018,535000,0,1,890103,30553-2405
TN165,1410187,9/19/2019,287315,0,1,20502,37066-0615
GA109,485736,1/17/2018,28500,0,2,970300,30417-1661
TN125,1490203,7/18/2018,141200,0,3,102008,37040-2899
GA021,521355,7/31/2020,350000,0,1,13502,31216
TN037,1161199,7/10/2018,199900,0,2,17200,37210-4651
GA131,228039,10/17/2019,100000,0,2,950501,39828-6732
GA097,740765,7/19/2022,220000,0,3,80505,30135-3226
TN141,1714567,4/2/2019,132000,0,1,900,38501-9457
GA255,561336,8/21/2020,159000,0,4,161202,30224-4964
TN047,1040867,12/3/2019,177000,0,2,60403,38060-3349
TN011,1366135,12/23/2021,380000,0,3,11201,37312-4638
GA205,1032067,3/8/2021,8000,0,3,90200,31779-4821
GA135,441627,9/3/2019,187500,0,2,50110,30518-1298
GA275,1062985,2/14/2020,118500,0,1,960601,31792-3823
TN167,1271793,7/22/2019,109900,0,1,40602,38019-7069
GA077,440014,4/11/2022,380000,0,2,170503,30276-3365
GA089,383018,10/23/2020,275000,0,1,22501,30030-2451
GA057,339039,11/2/2018,275000,0,1,91105,30102-1802
GA139,31985,12/1/2021,161000,8,1,1101,30501-4359
TN017,1053128,3/27/2020,88000,0,3,962202,38201-1539
GA151,20756,2/21/2018,289900,0,1,70211,30253-7112
TN073,1648289,6/1/2021,200000,11,1,50900,37711-4206
TN157,1735684,12/27/2021,20400,0,2,1700,38107-4425
TN107,1681403,8/12/2021,182000,0,2,970202,37303-2562
GA089,484723,7/19/2019,200000,0,2,21910,30083-1868
GA121,289220,3/16/2021,370000,0,1,9607,30326-7817
TN059,1159699,10/11/2019,288500,0,1,90900,37641-7236
GA021,370114,7/29/2019,73000,0,2,11900,31204-2506
TN167,1277600,9/30/2019,142500,0,1,40302,38004-7969
GA297,768182,8/23/2019,122000,0,2,110508,30052-8018
GA253,1094427,1/14/2022,675000,8,3,200200,39845
GA051,998297,5/12/2020,157000,0,2,10603,31408-1113
TN037,1549723,4/14/2021,580000,0,2,11700,37206-2533
TN189,1561332,11/23/2021,252000,0,3,30402,37087-3990
GA133,272880,2/20/2018,25000,0,1,950304,30642
GA077,296501,9/16/2021,220000,0,2,170702,30263-6616
GA145,353699,10/14/2020,525000,0,1,120401,31804-4414
GA135,296665,4/29/2019,272990,0,5,50617,30548-4169
GA073,695570,10/19/2022,325000,0,3,30311,30809-5016
GA051,466398,9/10/2021,224000,0,2,10814,31419-8114
GA153,727566,8/6/2018,299900,0,3,20112,31028-8513
GA097,97858,4/5/2019,255000,0,1,80105,30122-6868
TN169,1430116,9/29/2022,325000,0,2,90100,37031-5533
TN075,1752541,12/15/2021,100000,0,1,930302,38012-2614
TN187,1751214,5/10/2019,785000,1,1,51100,37046-9230
TN051,1407994,12/7/2022,155000,8,1,960500,37398-1444
GA089,108660,12/17/2019,235000,0,3,21208,30341-1871
TN119,1343925,12/6/2019,350000,0,2,10401,38401-2476
GA121,294394,6/12/2020,555000,0,2,9002,30318-1707
TN157,1845744,5/10/2021,95000,0,2,9800,38122-4353
GA121,431451,8/31/2020,234000,0,2,9411,30324-2841
GA073,658068,2/9/2018,212000,0,4,30304,30809-7480
TN047,1126742,4/22/2022,575000,0,1,60401,38002-9444
GA089,1041575,3/18/2022,625000,0,3,21211,30338-5315
TN125,1717653,8/24/2022,308000,0,1,102010,37040-2576
TN133,1189339,1/5/2019,105000,0,2,950501,38506-8244
TN037,1621286,12/13/2019,629900,0,3,18201,37205-3517
GA229,877031,5/4/2018,64500,0,2,960100,31516-8184
GA157,805677,7/10/2020,600000,0,2,10107,30548-6146
TN157,1717865,9/26/2019,145000,0,3,21744,38125-3012
GA059,238204,12/22/2021,55000000,8,3,150400,30606-4484
GA177,995143,9/18/2020,169500,0,1,20101,31763-3127
TN187,1839650,1/30/2020,350000,0,2,50905,37067-5627
GA135,245332,7/30/2021,253000,0,1,50435,30047-3628
GA019,118725,12/19/2019,279900,0,2,970500,31639-6659
TN157,1811641,1/23/2020,119663,0,3,22322,38109-5811
TN125,1776080,4/14/2020,338500,0,2,101805,37043-2516
TN157,1237987,6/30/2021,180000,0,1,2500,38105-2524
GA121,372653,7/26/2019,282000,0,4,11419,30075-8211
TN067,1750947,12/14/2020,115000,0,3,960600,37869-6839
GA247,897492,11/3/2020,3200,0,2,60204,30094-6245
GA223,763973,3/19/2019,197500,0,2,120504,30157-9007
GA121,360592,8/18/2022,273350,0,1,6602,30310-3959
TN157,1898463,4/29/2022,3000000,0,2,11020,38118-0531
GA215,799507,8/30/2018,750000,0,1,10110,31820-5408
TN165,1798023,9/27/2021,175000,0,1,21106,37075-4166
GA139,155690,10/18/2022,300000,17,2,203,30527-1419
TN011,1350947,10/6/2021,385000,0,1,11602,37323
TN187,1811405,6/24/2022,410000,0,1,51207,37174-7189
GA121,103848,12/14/2018,269975,0,2,1802,30312-1270
GA123,128822,8/3/2020,20000,0,1,80403,30540
TN037,1219613,9/18/2018,337500,0,1,18304,37221-6570
TN093,1182112,1/30/2020,34000,0,2,6700,37914-5305
GA067,142075,7/6/2020,325000,0,3,30359,30062-5274
TN141,1715451,4/12/2019,730000,0,1,500,38501-5802
GA285,810976,4/6/2021,11500,0,4,961000,31833
GA067,878152,11/20/2019,245000,0,2,30240,30152-2331
GA107,366136,6/27/2018,156000,0,2,970101,30471-3946
TN149,1444275,10/12/2018,200900,0,2,40106,37086-3530
TN043,1382422,1/17/2019,276000,10,1,60502,37055-5614
TN157,1394046,8/10/2020,190000,0,3,20651,38134-3340
GA115,508368,9/19/2019,140000,0,2,202,30165-6435
TN093,1697818,11/30/2020,58000,0,1,2600,37919-4640
GA139,86472,4/18/2022,370000,0,2,101,30554-2744
TN093,1147069,12/31/2019,442046,0,1,5907,37932-2721
GA095,1121993,12/8/2022,12000,0,5,1100,31707-5103
GA179,542290,3/18/2020,255000,0,2,10504,31320-5350
GA111,553023,4/16/2018,223000,0,1,50400,30513-6639
GA121,437175,10/4/2022,325000,0,1,10539,30213-2035
GA045,557839,2/28/2020,190000,0,3,910101,30180-2414
GA117,983556,8/31/2021,642244,0,1,130301,30028-5636
GA245,549214,2/25/2021,10000,0,2,300,30904-3732
GA067,1070156,7/23/2018,207000,0,3,31120,30106-1555
TN093,1753723,2/22/2021,196290,13,2,6502,37806-2407
GA057,242378,8/16/2021,344300,0,1,90910,30188-3654
TN037,1497580,5/3/2022,185000,0,1,18411,37221-2107
GA135,31971,3/15/2021,317900,0,2,50736,30052-3797
TN157,1846430,5/11/2021,6377,0,1,10122,38127-6218
GA089,85443,11/15/2019,199900,0,2,23329,30058-3184
GA121,456713,9/14/2020,467343,0,2,8601,30318-4506
GA137,477672,4/15/2019,185000,0,1,601,30510-3408
TN149,1870586,8/25/2020,310985,0,2,40911,37128-0771
GA275,1043444,4/16/2019,300000,16,1,960502,31792-4825
GA051,738694,3/18/2022,409000,0,2,10821,31322-9667
TN157,1736284,10/17/2019,119500,0,2,9400,38117-6200
GA021,849003,11/4/2021,132900,8,1,10800,31201-1403
TN065,1624693,7/20/2021,340000,8,1,1200,37406-3330
TN157,1464133,8/31/2021,198000,0,2,10820,38115-3003
TN007,900608,9/12/2018,39000,0,2,953000,37367-8498
TN189,1458241,3/5/2021,263000,0,2,30800,37090-6701
GA073,734719,6/29/2018,281500,0,2,30308,30809-8235
GA161,582739,2/23/2021,42700,0,2,960102,31539-6727
GA031,1130230,5/18/2022,245000,0,2,110500,30458-5164
TN157,1211762,1/3/2019,58000,0,1,9902,38127-1466
TN105,1394043,9/7/2022,2700000,0,1,60304,37772-3888
GA157,852189,3/11/2021,365630,0,1,10706,30549-5519
GA185,917287,9/29/2020,2167390,0,2,11500,31601-6835
GA057,87054,4/30/2021,180000,11,2,90705,30114-9798
TN065,1468071,11/17/2020,245000,0,1,800,37405-5002
TN157,1593430,8/23/2018,64600,0,2,20511,38128-5124
GA067,660196,3/21/2022,272000,0,2,11100,30344
TN119,1711411,3/2/2022,125000,0,2,10500,38401-3856
TN125,1764528,3/10/2020,261000,0,2,101905,37043-1480
GA067,258189,8/14/2020,245000,0,2,30346,30144-1526
TN163,1222304,8/23/2018,155000,0,2,41700,37665-1705
TN157,1759292,1/20/2022,16000,0,1,2000,38107-2751
TN093,1588058,10/12/2018,210000,8,2,5100,37918-4138
GA175,902453,3/5/2021,143000,0,1,950500,31021-3420
GA121,1103597,8/24/2018,746000,0,2,201,30306-3210
GA067,326669,3/27/2019,185000,0,1,30249,30152-6715
GA121,388549,8/6/2019,34100,0,2,8302,30314-1852
GA117,1092161,12/3/2021,785000,0,1,130607,30041-5834
TN019,1148870,5/10/2019,48000,0,2,71700,37687-3264
GA219,616272,9/12/2022,1334800,0,1,30300,30677-7518
TN187,1571458,3/5/2018,565000,0,1,50405,37069-7131
GA091,611880,9/12/2020,105000,8,1,960200,31023-5703
TN157,1681057,12/4/2020,160000,0,2,21758,38115-6408
GA051,891687,6/30/2022,395000,0,1,10820,31322-9677
TN167,1258267,2/4/2019,150000,0,2,40500,38011-4040
TN165,1698352,12/3/2020,215000,0,1,21004,37072-8929
GA047,131266,5/14/2021,180000,0,2,30304,30739-4094
TN093,1724053,5/23/2022,50000,0,2,2000,37914-5817
TN155,1914198,7/19/2021,295000,0,3,81001,37863-4997
GA151,309379,9/16/2020,195000,0,2,70310,30253-4123
TN145,1295375,6/25/2019,100000,11,2,30401,37854-4916
TN145,1358153,3/4/2021,80000,0,1,30402,37854-4792
TN157,1769996,3/3/2021,42900,0,4,20210,38053-5838
TN125,1756334,2/6/2020,110000,0,2,101102,37042-3891
TN163,1358957,6/27/2019,167000,0,2,40200,37660-4374
GA057,2424,2/19/2021,400022,0,2,91105,30102-0900
TN157,1469833,4/13/2018,510000,0,1,21545,38017-2165
TN155,1815484,7/31/2020,200000,0,3,81001,37863-5013
GA255,1123473,10/15/2018,34000,0,3,160402,30223-1802
GA281,664855,6/9/2021,140000,0,2,960301,30546-2319
GA117,957597,8/12/2021,315000,0,1,130504,30041-8781
GA177,1019808,10/27/2021,266000,0,3,20403,31721-7732
GA029,440016,9/3/2020,219900,0,1,920305,31324-3748
GA255,653667,3/24/2022,71436,0,3,160600,30223-7010
GA095,919698,3/11/2021,102000,0,1,502,31707-3062
GA127,312752,2/1/2018,65000,0,3,501,31520-4717
TN149,1590487,3/26/2019,225000,0,3,40904,37128-5341
TN179,1793345,7/20/2022,375000,0,3,61403,37615-3980
TN093,1548107,8/27/2020,245000,0,1,3200,37914-3523
GA021,588974,11/13/2020,84000,0,4,11702,31217-4445
GA089,411023,7/12/2021,555000,0,1,20801,30317-2642
GA151,65069,7/30/2018,100000,0,4,70119,30281-7639
GA021,1119246,9/28/2022,45000,0,1,13800,31217-6417
TN163,1776779,2/11/2022,129000,0,3,41800,37665-1618
GA117,283431,11/1/2019,134000,0,1,130105,30041-4258
TN113,1337506,4/29/2022,210000,0,4,300,38301-3223
GA097,729849,6/30/2022,279853,0,3,80304,30134-1612
TN143,1230126,2/23/2022,1440000,8,3,975401,37321-2082
GA051,409794,7/28/2021,11815000,8,3,10701,31407-3012
TN013,1471490,9/25/2019,439080,0,1,951000,37766
GA001,31581,2/14/2018,5000,0,2,950500,31513-8373
GA029,332237,3/15/2019,154000,0,1,920101,31308-6201
TN165,1725443,3/8/2021,395000,0,1,21203,37066-5548
GA089,456401,6/17/2019,266800,0,1,21223,30338-4804
TN007,930797,8/14/2021,20000,0,1,953000,37367
TN157,1775331,12/9/2019,205000,0,3,20651,38134-3005
TN009,1046983,3/9/2022,415000,0,3,10301,37853-3210
GA135,519431,6/4/2018,215000,0,1,50110,30518-6610
TN009,1081843,10/31/2019,285000,0,1,11201,37801-5804
GA135,78345,8/14/2018,239900,0,2,50559,30044-8826
GA089,199508,4/3/2020,325000,0,2,22001,30033-3339
GA095,981647,10/1/2021,4000,0,2,1000,31707-4108
TN047,1645794,12/13/2018,158000,0,1,60401,38002-4304
GA089,364361,3/1/2019,500000,0,4,21210,30338-4342
TN157,1830850,4/29/2021,9584,8,1,5300,38109-1618
GA245,620089,9/8/2021,147500,0,2,10203,30909-2401
GA121,453952,5/27/2021,465000,0,2,6000,30310-2335
GA217,763686,3/27/2020,289900,0,1,100301,30014-2832
TN187,1782417,7/29/2019,553000,0,2,50103,37135-9652
TN059,1210249,10/27/2020,90200,0,1,90700,37818-4273
TN189,1320641,11/20/2019,451680,0,2,30203,37122-0608
GA051,997903,5/11/2020,245300,0,1,10707,31407-3927
TN149,1414452,4/21/2021,274840,0,2,40811,37167-1179
GA021,1018710,5/25/2022,187000,0,3,11900,31204-1767
GA215,772236,3/2/2018,124726,0,2,900,31904-5615
TN113,1335795,4/22/2022,222500,0,3,1502,38305-7016
GA111,548884,3/20/2018,318000,0,5,50200,30513
GA067,95195,10/24/2022,595000,0,2,30602,30064-2049
GA121,44247,10/26/2020,849900,0,1,11640,30009-3837
